FID1	IID1	FID2	IID2	Z0	Z1	Z2	PI_HAT	RELATIONSHIP_CATEGORY
MG1024	MG1024	MG1045	MG1045	0.0009	0.9600	0.0391	0.5191	First_degree
MG1027	MG1027	MG1107	MG1107	0.0005	0.9608	0.0387	0.5191	First_degree
MG1052	MG1052	MG1078	MG1078	0.9101	0.0000	0.0899	0.0899	Third_degree
MG1056	MG1056	MG1098	MG1098	0.0008	0.9652	0.0340	0.5166	First_degree
MG1112	MG1112	MG1114	MG1114	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1112	MG1112	MG1115	MG1115	0.8421	0.0000	0.1579	0.1579	Third_degree
MG1112	MG1112	MG1116	MG1116	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1112	MG1112	MG1117	MG1117	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1112	MG1112	MG1118	MG1118	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1112	MG1112	MG1119	MG1119	0.8274	0.0000	0.1726	0.1726	Third_degree
MG1112	MG1112	MG1120	MG1120	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1112	MG1112	MG1121	MG1121	0.8304	0.0000	0.1696	0.1696	Third_degree
MG1112	MG1112	MG1122	MG1122	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1112	MG1112	MG1123	MG1123	0.8307	0.0000	0.1693	0.1693	Third_degree
MG1112	MG1112	MG1124	MG1124	0.8306	0.0000	0.1694	0.1694	Third_degree
MG1112	MG1112	MG1126	MG1126	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1112	MG1112	MG1127	MG1127	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1112	MG1112	MG1128	MG1128	0.8356	0.0000	0.1644	0.1644	Third_degree
MG1112	MG1112	MG1129	MG1129	0.8336	0.0000	0.1664	0.1664	Third_degree
MG1112	MG1112	MG1130	MG1130	0.8360	0.0000	0.1640	0.1640	Third_degree
MG1112	MG1112	MG1131	MG1131	0.8287	0.0000	0.1713	0.1713	Third_degree
MG1112	MG1112	MG1132	MG1132	0.8319	0.0000	0.1681	0.1681	Third_degree
MG1112	MG1112	MG1133	MG1133	0.8388	0.0000	0.1612	0.1612	Third_degree
MG1112	MG1112	MG1134	MG1134	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1112	MG1112	MG1135	MG1135	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1112	MG1112	MG1136	MG1136	0.8468	0.0000	0.1532	0.1532	Third_degree
MG1112	MG1112	MG1137	MG1137	0.8356	0.0000	0.1644	0.1644	Third_degree
MG1112	MG1112	MG1138	MG1138	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1112	MG1112	MG1139	MG1139	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1112	MG1112	MG1140	MG1140	0.8476	0.0000	0.1524	0.1524	Third_degree
MG1112	MG1112	MG1141	MG1141	0.8326	0.0000	0.1674	0.1674	Third_degree
MG1112	MG1112	MG1142	MG1142	0.8334	0.0000	0.1666	0.1666	Third_degree
MG1112	MG1112	MG1143	MG1143	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1112	MG1112	MG1144	MG1144	0.8344	0.0000	0.1656	0.1656	Third_degree
MG1112	MG1112	MG1146	MG1146	0.8348	0.0000	0.1652	0.1652	Third_degree
MG1112	MG1112	MG1147	MG1147	0.8468	0.0000	0.1532	0.1532	Third_degree
MG1112	MG1112	MG1148	MG1148	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1112	MG1112	MG1149	MG1149	0.8467	0.0000	0.1533	0.1533	Third_degree
MG1112	MG1112	MG1150	MG1150	0.8308	0.0000	0.1692	0.1692	Third_degree
MG1112	MG1112	MG1151	MG1151	0.8349	0.0000	0.1651	0.1651	Third_degree
MG1112	MG1112	MG1152	MG1152	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1112	MG1112	MG1153	MG1153	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1112	MG1112	MG1154	MG1154	0.8377	0.0000	0.1623	0.1623	Third_degree
MG1112	MG1112	MG1155	MG1155	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1112	MG1112	MG1156	MG1156	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1112	MG1112	MG1157	MG1157	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1112	MG1112	MG1158	MG1158	0.8299	0.0000	0.1701	0.1701	Third_degree
MG1112	MG1112	MG1159	MG1159	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1112	MG1112	MG1160	MG1160	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1112	MG1112	MG1161	MG1161	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1112	MG1112	MG1162	MG1162	0.8322	0.0000	0.1678	0.1678	Third_degree
MG1112	MG1112	MG1163	MG1163	0.8323	0.0000	0.1677	0.1677	Third_degree
MG1112	MG1112	MG1165	MG1165	0.8349	0.0000	0.1651	0.1651	Third_degree
MG1112	MG1112	MG1166	MG1166	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1112	MG1112	MG1167	MG1167	0.8388	0.0000	0.1612	0.1612	Third_degree
MG1112	MG1112	MG1169	MG1169	0.8349	0.0000	0.1651	0.1651	Third_degree
MG1112	MG1112	MG1170	MG1170	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1112	MG1112	MG1171	MG1171	0.8304	0.0000	0.1696	0.1696	Third_degree
MG1112	MG1112	MG1172	MG1172	0.8313	0.0000	0.1687	0.1687	Third_degree
MG1112	MG1112	MG1173	MG1173	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1112	MG1112	MG1175	MG1175	0.8290	0.0000	0.1710	0.1710	Third_degree
MG1112	MG1112	MG1176	MG1176	0.8432	0.0000	0.1568	0.1568	Third_degree
MG1112	MG1112	MG1177	MG1177	0.8419	0.0000	0.1581	0.1581	Third_degree
MG1112	MG1112	MG1178	MG1178	0.8295	0.0000	0.1705	0.1705	Third_degree
MG1112	MG1112	MG1179	MG1179	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1112	MG1112	MG1180	MG1180	0.8338	0.0000	0.1662	0.1662	Third_degree
MG1112	MG1112	MG1181	MG1181	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1112	MG1112	MG1182	MG1182	0.8276	0.0000	0.1724	0.1724	Third_degree
MG1112	MG1112	MG1183	MG1183	0.8402	0.0000	0.1598	0.1598	Third_degree
MG1112	MG1112	MG1184	MG1184	0.8325	0.0000	0.1675	0.1675	Third_degree
MG1112	MG1112	MG1185	MG1185	0.8317	0.0000	0.1683	0.1683	Third_degree
MG1112	MG1112	MG1186	MG1186	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1112	MG1112	MG1187	MG1187	0.8244	0.0000	0.1756	0.1756	Third_degree
MG1112	MG1112	MG1188	MG1188	0.8333	0.0000	0.1667	0.1667	Third_degree
MG1112	MG1112	MG1189	MG1189	0.8439	0.0000	0.1561	0.1561	Third_degree
MG1112	MG1112	MG1190	MG1190	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1112	MG1112	MG1191	MG1191	0.8431	0.0000	0.1569	0.1569	Third_degree
MG1112	MG1112	MG1192	MG1192	0.8326	0.0000	0.1674	0.1674	Third_degree
MG1112	MG1112	MG1193	MG1193	0.8435	0.0000	0.1565	0.1565	Third_degree
MG1112	MG1112	MG1194	MG1194	0.8293	0.0000	0.1707	0.1707	Third_degree
MG1112	MG1112	MG1196	MG1196	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1112	MG1112	MG1197	MG1197	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1112	MG1112	MG1198	MG1198	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1112	MG1112	MG1199	MG1199	0.8290	0.0000	0.1710	0.1710	Third_degree
MG1112	MG1112	MG1200	MG1200	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1112	MG1112	MG1201	MG1201	0.8283	0.0000	0.1717	0.1717	Third_degree
MG1112	MG1112	MG1202	MG1202	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1112	MG1112	MG1203	MG1203	0.8316	0.0000	0.1684	0.1684	Third_degree
MG1112	MG1112	MG1206	MG1206	0.8336	0.0000	0.1664	0.1664	Third_degree
MG1112	MG1112	MG1207	MG1207	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1112	MG1112	MG1209	MG1209	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1112	MG1112	MG1210	MG1210	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1112	MG1112	MG1211	MG1211	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1112	MG1112	MG1212	MG1212	0.8338	0.0000	0.1662	0.1662	Third_degree
MG1112	MG1112	MG1213	MG1213	0.8466	0.0000	0.1534	0.1534	Third_degree
MG1112	MG1112	MG1214	MG1214	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1112	MG1112	MG1215	MG1215	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1112	MG1112	MG1216	MG1216	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1112	MG1112	MG1217	MG1217	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1112	MG1112	MG1218	MG1218	0.8495	0.0000	0.1505	0.1505	Third_degree
MG1112	MG1112	MG1219	MG1219	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1112	MG1112	MG1220	MG1220	0.8356	0.0000	0.1644	0.1644	Third_degree
MG1112	MG1112	MG1221	MG1221	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1112	MG1112	MG1222	MG1222	0.8293	0.0000	0.1707	0.1707	Third_degree
MG1112	MG1112	MG1223	MG1223	0.8390	0.0000	0.1610	0.1610	Third_degree
MG1112	MG1112	MG1224	MG1224	0.8315	0.0000	0.1685	0.1685	Third_degree
MG1112	MG1112	MG1225	MG1225	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1112	MG1112	MG1226	MG1226	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1112	MG1112	MG1227	MG1227	0.8324	0.0000	0.1676	0.1676	Third_degree
MG1112	MG1112	MG1228	MG1228	0.8300	0.0000	0.1700	0.1700	Third_degree
MG1112	MG1112	MG1229	MG1229	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1112	MG1112	MG1230	MG1230	0.8195	0.0000	0.1805	0.1805	Second_degree
MG1112	MG1112	MG1232	MG1232	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1112	MG1112	MG1233	MG1233	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1112	MG1112	MG1235	MG1235	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1112	MG1112	MG1236	MG1236	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1112	MG1112	MG1237	MG1237	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1112	MG1112	MG1238	MG1238	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1112	MG1112	MG1239	MG1239	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1112	MG1112	MG1240	MG1240	0.8290	0.0000	0.1710	0.1710	Third_degree
MG1112	MG1112	MG1241	MG1241	0.8344	0.0000	0.1656	0.1656	Third_degree
MG1112	MG1112	MG1242	MG1242	0.8394	0.0000	0.1606	0.1606	Third_degree
MG1112	MG1112	MG1243	MG1243	0.8325	0.0000	0.1675	0.1675	Third_degree
MG1112	MG1112	MG1244	MG1244	0.8317	0.0000	0.1683	0.1683	Third_degree
MG1112	MG1112	MG1245	MG1245	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1112	MG1112	MG1246	MG1246	0.8247	0.0000	0.1753	0.1753	Third_degree
MG1112	MG1112	MG1247	MG1247	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1112	MG1112	MG1248	MG1248	0.8308	0.0000	0.1692	0.1692	Third_degree
MG1112	MG1112	MG1249	MG1249	0.8331	0.0000	0.1669	0.1669	Third_degree
MG1112	MG1112	MG1250	MG1250	0.8494	0.0000	0.1506	0.1506	Third_degree
MG1112	MG1112	MG1251	MG1251	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1112	MG1112	MG1252	MG1252	0.8281	0.0000	0.1719	0.1719	Third_degree
MG1112	MG1112	MG1253	MG1253	0.8410	0.0000	0.1590	0.1590	Third_degree
MG1112	MG1112	MG1254	MG1254	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1112	MG1112	MG1255	MG1255	0.8343	0.0000	0.1657	0.1657	Third_degree
MG1112	MG1112	MG1256	MG1256	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1112	MG1112	MG1257	MG1257	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1112	MG1112	MG1258	MG1258	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1112	MG1112	MG1259	MG1259	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1112	MG1112	MG1261	MG1261	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1112	MG1112	MG1262	MG1262	0.8394	0.0000	0.1606	0.1606	Third_degree
MG1112	MG1112	MG1263	MG1263	0.8446	0.0000	0.1554	0.1554	Third_degree
MG1112	MG1112	MG1264	MG1264	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1112	MG1112	MG1265	MG1265	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1112	MG1112	MG1266	MG1266	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1112	MG1112	MG1267	MG1267	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1112	MG1112	MG1268	MG1268	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1112	MG1112	MG1269	MG1269	0.8446	0.0000	0.1554	0.1554	Third_degree
MG1112	MG1112	MG1270	MG1270	0.8284	0.0000	0.1716	0.1716	Third_degree
MG1112	MG1112	MG1271	MG1271	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1112	MG1112	MG1272	MG1272	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1112	MG1112	MG1273	MG1273	0.8341	0.0000	0.1659	0.1659	Third_degree
MG1112	MG1112	MG1274	MG1274	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1112	MG1112	MG1275	MG1275	0.8388	0.0000	0.1612	0.1612	Third_degree
MG1112	MG1112	MG1276	MG1276	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1112	MG1112	MG1277	MG1277	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1112	MG1112	MG1278	MG1278	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1112	MG1112	MG1279	MG1279	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1112	MG1112	MG1280	MG1280	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1112	MG1112	MG1281	MG1281	0.8265	0.0000	0.1735	0.1735	Third_degree
MG1112	MG1112	MG1282	MG1282	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1112	MG1112	MG1284	MG1284	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1112	MG1112	MG1285	MG1285	0.8306	0.0000	0.1694	0.1694	Third_degree
MG1112	MG1112	MG1286	MG1286	0.8344	0.0000	0.1656	0.1656	Third_degree
MG1112	MG1112	MG1287	MG1287	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1112	MG1112	MG1288	MG1288	0.8324	0.0000	0.1676	0.1676	Third_degree
MG1112	MG1112	MG1289	MG1289	0.8393	0.0000	0.1607	0.1607	Third_degree
MG1112	MG1112	MG1290	MG1290	0.8402	0.0000	0.1598	0.1598	Third_degree
MG1112	MG1112	MG1291	MG1291	0.8294	0.0000	0.1706	0.1706	Third_degree
MG1112	MG1112	MG1292	MG1292	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1112	MG1112	MG1293	MG1293	0.8360	0.0000	0.1640	0.1640	Third_degree
MG1112	MG1112	MG1294	MG1294	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1112	MG1112	MG1295	MG1295	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1112	MG1112	MG1296	MG1296	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1112	MG1112	MG1297	MG1297	0.8333	0.0000	0.1667	0.1667	Third_degree
MG1112	MG1112	MG1298	MG1298	0.8300	0.0000	0.1700	0.1700	Third_degree
MG1112	MG1112	MG1299	MG1299	0.8439	0.0000	0.1561	0.1561	Third_degree
MG1112	MG1112	MG1300	MG1300	0.8315	0.0000	0.1685	0.1685	Third_degree
MG1112	MG1112	MG1303	MG1303	0.8366	0.0000	0.1634	0.1634	Third_degree
MG1112	MG1112	MG1304	MG1304	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1112	MG1112	MG1305	MG1305	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1112	MG1112	MG1306	MG1306	0.8317	0.0000	0.1683	0.1683	Third_degree
MG1112	MG1112	MG1307	MG1307	0.8327	0.0000	0.1673	0.1673	Third_degree
MG1112	MG1112	MG1308	MG1308	0.8534	0.0000	0.1466	0.1466	Third_degree
MG1112	MG1112	MG1309	MG1309	0.8454	0.0000	0.1546	0.1546	Third_degree
MG1112	MG1112	MG1310	MG1310	0.8458	0.0000	0.1542	0.1542	Third_degree
MG1112	MG1112	MG1311	MG1311	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1112	MG1112	MG1312	MG1312	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1112	MG1112	MG1313	MG1313	0.8470	0.0000	0.1530	0.1530	Third_degree
MG1112	MG1112	MG1314	MG1314	0.8309	0.0000	0.1691	0.1691	Third_degree
MG1112	MG1112	MG1315	MG1315	0.8402	0.0000	0.1598	0.1598	Third_degree
MG1112	MG1112	MG1316	MG1316	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1112	MG1112	MG1317	MG1317	0.8366	0.0000	0.1634	0.1634	Third_degree
MG1112	MG1112	MG1318	MG1318	0.8281	0.0000	0.1719	0.1719	Third_degree
MG1112	MG1112	MG1319	MG1319	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1112	MG1112	MG1320	MG1320	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1112	MG1112	MG1321	MG1321	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1112	MG1112	MG1323	MG1323	0.8307	0.0000	0.1693	0.1693	Third_degree
MG1112	MG1112	MG1324	MG1324	0.8480	0.0000	0.1520	0.1520	Third_degree
MG1112	MG1112	MG1326	MG1326	0.8426	0.0000	0.1574	0.1574	Third_degree
MG1112	MG1112	MG1327	MG1327	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1112	MG1112	MG1328	MG1328	0.8402	0.0000	0.1598	0.1598	Third_degree
MG1112	MG1112	MG1329	MG1329	0.8377	0.0000	0.1623	0.1623	Third_degree
MG1112	MG1112	MG1330	MG1330	0.8439	0.0000	0.1561	0.1561	Third_degree
MG1112	MG1112	MG1332	MG1332	0.8509	0.0000	0.1491	0.1491	Third_degree
MG1112	MG1112	MG1333	MG1333	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1112	MG1112	MG1334	MG1334	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1112	MG1112	MG1335	MG1335	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1112	MG1112	MG1336	MG1336	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1112	MG1112	MG1337	MG1337	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1112	MG1112	MG1338	MG1338	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1112	MG1112	MG1339	MG1339	0.8427	0.0000	0.1573	0.1573	Third_degree
MG1112	MG1112	MG1340	MG1340	0.8466	0.0000	0.1534	0.1534	Third_degree
MG1112	MG1112	MG1341	MG1341	0.8363	0.0000	0.1637	0.1637	Third_degree
MG1112	MG1112	MG1342	MG1342	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1112	MG1112	MG1343	MG1343	0.8398	0.0000	0.1602	0.1602	Third_degree
MG1112	MG1112	MG1344	MG1344	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1112	MG1112	MG1345	MG1345	0.8431	0.0000	0.1569	0.1569	Third_degree
MG1112	MG1112	MG1346	MG1346	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1112	MG1112	MG1347	MG1347	0.8436	0.0000	0.1564	0.1564	Third_degree
MG1112	MG1112	MG1348	MG1348	0.8336	0.0000	0.1664	0.1664	Third_degree
MG1112	MG1112	MG1349	MG1349	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1112	MG1112	MG1350	MG1350	0.8541	0.0000	0.1459	0.1459	Third_degree
MG1112	MG1112	MG1351	MG1351	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1112	MG1112	MG1352	MG1352	0.8283	0.0000	0.1717	0.1717	Third_degree
MG1112	MG1112	MG1354	MG1354	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1112	MG1112	MG1355	MG1355	0.8230	0.0000	0.1770	0.1770	Second_degree
MG1112	MG1112	MG1356	MG1356	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1112	MG1112	MG1357	MG1357	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1112	MG1112	MG1358	MG1358	0.8457	0.0000	0.1543	0.1543	Third_degree
MG1112	MG1112	MG1359	MG1359	0.8416	0.0000	0.1584	0.1584	Third_degree
MG1112	MG1112	MG1360	MG1360	0.8319	0.0000	0.1681	0.1681	Third_degree
MG1112	MG1112	MG1361	MG1361	0.8320	0.0000	0.1680	0.1680	Third_degree
MG1112	MG1112	MG1362	MG1362	0.8331	0.0000	0.1669	0.1669	Third_degree
MG1112	MG1112	MG1363	MG1363	0.8366	0.0000	0.1634	0.1634	Third_degree
MG1112	MG1112	MG1364	MG1364	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1112	MG1112	MG1365	MG1365	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1112	MG1112	MG1366	MG1366	0.8421	0.0000	0.1579	0.1579	Third_degree
MG1112	MG1112	MG1367	MG1367	0.8411	0.0000	0.1589	0.1589	Third_degree
MG1112	MG1112	MG1368	MG1368	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1112	MG1112	MG1369	MG1369	0.8434	0.0000	0.1566	0.1566	Third_degree
MG1112	MG1112	MG1370	MG1370	0.8307	0.0000	0.1693	0.1693	Third_degree
MG1112	MG1112	MG1371	MG1371	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1112	MG1112	MG1372	MG1372	0.8250	0.0000	0.1750	0.1750	Third_degree
MG1112	MG1112	MG1373	MG1373	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1112	MG1112	MG1374	MG1374	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1112	MG1112	MG1376	MG1376	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1112	MG1112	MG1377	MG1377	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1112	MG1112	MG1378	MG1378	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1112	MG1112	MG1379	MG1379	0.8287	0.0000	0.1713	0.1713	Third_degree
MG1112	MG1112	MG1380	MG1380	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1112	MG1112	MG1381	MG1381	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1112	MG1112	MG1382	MG1382	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1112	MG1112	MG1383	MG1383	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1112	MG1112	MG1384	MG1384	0.8323	0.0000	0.1677	0.1677	Third_degree
MG1112	MG1112	MG1388	MG1388	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1112	MG1112	MG1389	MG1389	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1112	MG1112	MG1390	MG1390	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1112	MG1112	MG1391	MG1391	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1112	MG1112	MG1393	MG1393	0.8327	0.0000	0.1673	0.1673	Third_degree
MG1112	MG1112	MG1394	MG1394	0.8495	0.0000	0.1505	0.1505	Third_degree
MG1112	MG1112	MG1395	MG1395	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1112	MG1112	MG1397	MG1397	0.8420	0.0000	0.1580	0.1580	Third_degree
MG1112	MG1112	MG1398	MG1398	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1112	MG1112	MG1399	MG1399	0.8322	0.0000	0.1678	0.1678	Third_degree
MG1112	MG1112	MG1401	MG1401	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1112	MG1112	MG1402	MG1402	0.8295	0.0000	0.1705	0.1705	Third_degree
MG1112	MG1112	MG1403	MG1403	0.8336	0.0000	0.1664	0.1664	Third_degree
MG1112	MG1112	MG1404	MG1404	0.8479	0.0000	0.1521	0.1521	Third_degree
MG1112	MG1112	MG1405	MG1405	0.8296	0.0000	0.1704	0.1704	Third_degree
MG1112	MG1112	MG1406	MG1406	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1112	MG1112	MG1407	MG1407	0.8299	0.0000	0.1701	0.1701	Third_degree
MG1112	MG1112	MG1408	MG1408	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1112	MG1112	MG1409	MG1409	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1112	MG1112	MG1410	MG1410	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1112	MG1112	MG1411	MG1411	0.8334	0.0000	0.1666	0.1666	Third_degree
MG1112	MG1112	MG1412	MG1412	0.8281	0.0000	0.1719	0.1719	Third_degree
MG1112	MG1112	MG1413	MG1413	0.8264	0.0000	0.1736	0.1736	Third_degree
MG1112	MG1112	MG1414	MG1414	0.8402	0.0000	0.1598	0.1598	Third_degree
MG1112	MG1112	MG1416	MG1416	0.8502	0.0000	0.1498	0.1498	Third_degree
MG1112	MG1112	MG1417	MG1417	0.8318	0.0000	0.1682	0.1682	Third_degree
MG1112	MG1112	MG1418	MG1418	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1112	MG1112	MG1419	MG1419	0.8418	0.0000	0.1582	0.1582	Third_degree
MG1112	MG1112	MG1420	MG1420	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1112	MG1112	MG1421	MG1421	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1112	MG1112	MG1422	MG1422	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1112	MG1112	MG1423	MG1423	0.8343	0.0000	0.1657	0.1657	Third_degree
MG1112	MG1112	MG1424	MG1424	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1112	MG1112	MG1425	MG1425	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1112	MG1112	MG1426	MG1426	0.8402	0.0000	0.1598	0.1598	Third_degree
MG1112	MG1112	MG1427	MG1427	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1112	MG1112	MG1428	MG1428	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1112	MG1112	MG1429	MG1429	0.8363	0.0000	0.1637	0.1637	Third_degree
MG1112	MG1112	MG1430	MG1430	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1112	MG1112	MG1431	MG1431	0.8427	0.0000	0.1573	0.1573	Third_degree
MG1112	MG1112	MG1432	MG1432	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1112	MG1112	MG1433	MG1433	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1112	MG1112	MG1434	MG1434	0.8438	0.0000	0.1562	0.1562	Third_degree
MG1112	MG1112	MG1435	MG1435	0.8298	0.0000	0.1702	0.1702	Third_degree
MG1112	MG1112	MG1436	MG1436	0.8339	0.0000	0.1661	0.1661	Third_degree
MG1112	MG1112	MG1438	MG1438	0.8280	0.0000	0.1720	0.1720	Third_degree
MG1112	MG1112	MG1439	MG1439	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1112	MG1112	MG1440	MG1440	0.8389	0.0000	0.1611	0.1611	Third_degree
